dtSta070DateTime,iSta070OverAllResult,rSta070CycleTime,iSta070CapNutTypeResult,iSta070OMVSpringResult_PI,rSta070NozzlePreLoadForce,rSta070NozzlePreLoadPosition,iSta070StackBuildResult,rSta070CapNutTorque,rSta070CapNutTorqueAngle,rSta070CapNutFinalAngle,iSta070CapNutAssemblyResult
07/09/2021 20:29,2,21.76,1,1,65,114.57,1,3.218479,2263.198,0,1
,,,,,,,,,,,
07/09/2021 20:31,2,21.76,1,1,65,114.63,1,3.262805,2550.626,0,2
07/09/2021 20:32,1,23.783,1,1,65,114.68,1,3.220941,2366.287,2002.085,1
07/09/2021 20:32,1,21.862,1,1,65,114.68,1,3.246918,2149.623,1784.393,1
07/09/2021 20:33,2,21.574,1,1,65,114.56,1,3.191959,2551.093,0,2
07/09/2021 20:35,1,23.954,1,1,65,114.2,1,3.254303,2367.053,2001.69,1
07/09/2021 20:38,2,21.794,1,1,65,114.66,1,10.10843,0,0,1
07/09/2021 20:42,2,21.657,1,1,65,114.68,1,3.192626,1629.62,0,2
,,,,,,,,,,,
07/09/2021 20:43,1,21.657,1,1,65,114.66,1,3.218525,2380.914,2017.028,1
07/09/2021 20:44,1,21.896,1,1,65,114.66,1,3.218765,2151.18,1786.483,1
07/09/2021 20:44,1,21.608,1,1,65,114.66,1,3.258562,2216.229,1851.59,1
07/09/2021 20:45,1,22.067,1,1,65,114.66,1,3.202574,2045.627,1680.379,1
07/09/2021 20:45,1,21.779,1,1,65,114.66,1,3.220708,2172.385,1806.929,1
07/09/2021 20:46,1,21.862,1,1,65,114.66,1,3.25756,2229.762,1864.275,1
,,,,,,,,,,,
07/09/2021 21:11,1,21.42,1,1,65,114.66,1,3.231315,2290.434,1926.357,1
07/09/2021 21:12,1,21.522,1,1,65,114.57,1,3.219163,2201.676,1837.076,1
07/09/2021 21:12,1,21.301,1,1,65,114.57,1,3.228323,2346.947,1982.708,1
,,,,,,,,,,,
07/09/2021 21:13,1,22.321,1,1,65,114.66,1,3.23555,2276.725,1912.082,1
,,,,,,,,,,,
07/09/2021 21:13,1,22.321,1,1,65,114.57,1,3.168679,2087.189,1722.399,1
07/09/2021 21:13,1,21.828,1,1,65,114.65,1,3.22243,2128.36,1763.293,1
,,,,,,,,,,,
,,,,,,,,,,,
08/09/2021 14:48,1,0,1,1,65,114.68,1,3.194295,2347.809,1983.701,1
08/09/2021 14:55,1,21.37,1,1,65,114.57,1,3.15864,2102.047,1720.763,1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
08/09/2021 14:54,1,21.148,1,1,65,114.63,1,3.237569,2280.648,1901.675,1
08/09/2021 14:54,1,21.948,1,1,65,114.66,1,3.327056,2076.077,1686.867,1
08/09/2021 14:53,1,20.706,1,1,65,114.68,1,3.199965,2331.575,1966.221,1
08/09/2021 14:53,1,21.111,1,1,65,114.68,1,3.215456,2111.098,1726.551,1
08/09/2021 14:52,1,21.795,1,1,65,114.69,1,3.258766,2109.345,1722.5,1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
08/09/2021 16:07,1,21.164,1,1,65,114.69,1,3.453861,2385.79,2020.361,1
,,,,,,,,,,,
08/09/2021 16:08,1,22.016,1,1,65,114.66,1,3.537153,2139.646,1755.034,1
08/09/2021 16:08,1,20.638,1,1,65,114.66,1,3.435201,2175.739,1809.687,1
08/09/2021 16:08,1,21.283,1,1,65,114.68,1,3.427413,2231.709,1866.549,1
08/09/2021 16:09,1,21.606,1,1,65,114.68,1,3.367814,2109.39,1727.525,1
08/09/2021 16:09,2,21.235,1,1,65,114.71,1,3.479603,1858.648,0,2
08/09/2021 16:21,1,21.235,1,1,65,114.68,1,3.445124,2267.593,1903.694,1
08/09/2021 16:44,1,21.047,1,1,65,114.66,1,3.604163,2190.018,1825.035,1
08/09/2021 16:45,1,20.859,1,1,65,114.57,1,3.417286,2346.724,1981.644,1
08/09/2021 16:45,1,21.862,1,1,65,114.66,1,3.435299,2370.952,2006.023,1
08/09/2021 16:46,1,21.997,1,1,65,114.54,1,3.451499,2148.279,1782.962,1
08/09/2021 16:46,1,21.726,1,1,65,114.69,1,3.43562,2329.874,1965.191,1
,,,,,,,,,,,
,,,,,,,,,,,
08/09/2021 16:47,1,21.76,1,1,65,114.39,1,3.452082,2298.545,1933.038,1
08/09/2021 16:47,1,21.132,1,1,65,114.66,1,3.41633,2251.936,1886.868,1
08/09/2021 16:48,1,21.011,1,1,65,114.65,1,3.437822,2184.419,1819.489,1
,,,,,,,,,,,
08/09/2021 16:52,1,20.74,1,1,65,114.65,1,3.41286,2189.606,1823.844,1
08/09/2021 17:37,1,20.79,1,1,65,114.57,1,3.471188,2282.239,1917.662,1
08/09/2021 17:39,1,6.579,1,1,65,114.57,1,3.682266,2341.358,1977.176,1
08/09/2021 17:40,1,21.963,1,1,65,114.57,1,3.69295,2130.794,1765.775,1
09/09/2021 16:43,1,21.048,1,1,65,114.45,1,3.239768,2241.489,1876.786,1
09/09/2021 16:45,1,21.215,1,1,65,114.32,1,3.155965,2222.616,1857.024,1
09/09/2021 16:44,1,23.054,1,1,65,114.21,1,3.189575,2070.884,1689.564,1
09/09/2021 16:46,1,21.114,1,1,65,114.3,1,3.183829,2045.545,1660.117,1
09/09/2021 16:46,1,21.302,1,1,65,114.42,1,3.289181,2082.065,1698.635,1
09/09/2021 16:45,1,21.097,1,1,65,114.42,1,3.26007,2108.719,1724.135,1
09/09/2021 16:45,1,21.592,1,1,65,114.38,1,3.308346,2121.837,1738.445,1
09/09/2021 16:44,1,21.556,1,1,65,114.45,1,3.224816,2342.746,1978.128,1
09/09/2021 16:43,1,0,1,1,65,114.27,1,3.344291,2066.808,1684.336,1
09/09/2021 16:43,1,20.348,1,1,65,114.3,1,3.225988,2268.119,1903.12,1
09/09/2021 20:51,1,0,1,1,65,114.48,1,3.23146,2060.595,1690.779,1
09/09/2021 20:51,1,20.434,1,1,65,114.44,1,3.170102,2071.774,1688.146,1
09/09/2021 20:51,1,20.674,1,1,65,114.21,1,3.096871,2317.006,1951.493,1
09/09/2021 20:52,1,21.301,1,1,65,114.03,1,3.24369,2043.704,1661.415,1
09/09/2021 20:53,1,21.08,1,1,65,114.38,1,3.125264,2038.314,1658.327,1
09/09/2021 20:53,1,21.081,1,1,65,114.33,1,3.296423,2301.025,1921.573,1
,,,,,,,,,,,
09/09/2021 20:54,1,21.47,1,1,65,114.2,1,3.288348,2213.916,1832.451,1
,,,,,,,,,,,
09/09/2021 21:06,1,21.182,1,1,65,114.32,1,3.173574,2039.862,1659.974,1
09/09/2021 21:06,1,20.348,1,1,65,114.21,1,3.282174,2085.517,1701.996,1
09/09/2021 21:07,1,20.418,1,1,65,114.32,1,3.123477,2312.543,1929.791,1
09/09/2021 21:07,1,21.437,1,1,65,114.03,1,3.250909,2042.96,1657.28,1
09/09/2021 21:08,1,20.993,1,1,65,113.94,1,3.315823,2070.779,1684.062,1
09/09/2021 21:15,1,20.977,1,1,65,114.27,1,3.302601,2035.162,1652.503,1
09/09/2021 21:15,1,20.212,1,1,65,114.32,1,3.32789,2045.171,1662.214,1
09/09/2021 21:15,2,20.691,1,1,65,114.21,1,3.93956,463.542,0,2
09/09/2021 21:16,1,20.691,1,1,65,114.24,1,3.198035,2047.973,1667.861,1
09/09/2021 21:18,1,21.065,1,1,65,114.33,1,3.287285,2053.035,1672.92,1
09/09/2021 21:18,1,21.115,1,1,65,114.39,1,3.223325,2404.421,2039.088,1
09/09/2021 21:18,2,22.185,1,1,65,114.21,1,3.135529,1953.106,0,2
09/09/2021 21:21,1,21.18,1,1,65,114.33,1,3.163224,2105.871,1725.106,1
,,,,,,,,,,,
09/09/2021 21:24,1,18.548,1,1,65,114.15,1,3.267582,2088.628,1704.092,1
09/09/2021 21:25,1,18.481,1,1,65,114.39,1,3.247457,2309.486,1938.907,1
09/09/2021 21:26,1,21.097,1,1,65,114.3,1,3.162761,2067.615,1690.192,1
09/09/2021 21:30,1,19.397,1,1,65,114.44,1,3.228822,2403.628,2038.819,1
09/09/2021 21:30,1,21.471,1,1,65,114.27,1,3.170779,2293.809,1917.492,1
09/09/2021 21:31,1,21.094,1,1,65,114.29,1,3.221772,2113.396,1725.121,1
09/09/2021 21:32,1,21.028,1,1,65,114.39,1,3.230727,2458.419,2094.066,1
09/09/2021 21:32,1,22.37,1,1,65,114.32,1,3.234503,2136.14,1755.55,1
09/09/2021 21:36,1,21.368,1,1,65,114.57,1,3.223689,2273.665,1903.825,1
09/09/2021 21:36,1,21.727,1,1,65,114.41,1,3.251725,2076.531,1695.279,1
09/09/2021 21:36,1,21.063,1,1,65,114.36,1,3.229767,2374.655,2010.296,1
09/09/2021 21:37,1,22.1,1,1,65,114.33,1,3.306226,2135.24,1751.225,1
09/09/2021 21:37,1,21.199,1,1,65,114.47,1,3.177058,2374.574,2010.404,1
09/09/2021 21:38,1,20.212,1,1,65,114.45,1,3.315507,2063.305,1681.244,1
09/09/2021 21:38,1,19.141,1,1,65,114.44,1,3.225501,2275.197,1909.453,1
,,,,,,,,,,,
09/09/2021 21:41,1,19.976,1,1,65,114.32,1,3.154535,2370.562,1997.275,1
09/09/2021 21:42,1,21.012,1,1,65,114.27,1,3.146153,2053.055,1672.951,1
09/09/2021 21:42,1,20.487,1,1,65,114.27,1,3.229512,2380.083,2009.958,1
09/09/2021 22:20,2,21.27,1,1,65,114.78,1,3.220912,1835.753,0,2
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
09/09/2021 22:20,1,21.27,1,1,65,114.29,1,3.261355,2259.761,1892.782,1
09/09/2021 22:21,1,21.759,1,1,65,114.21,1,3.175178,2218.337,1849.303,1
09/09/2021 22:21,1,20.943,1,1,65,113.73,1,3.130071,2327.675,1944.618,1
09/09/2021 22:22,1,21.504,1,1,65,114.02,1,3.246234,2431.358,2060.26,1
09/09/2021 22:22,1,21.981,1,1,65,114.08,1,3.206578,2051.933,1680.802,1
09/09/2021 22:23,1,20.554,1,1,65,114.21,1,3.230647,2286.48,1916.784,1
09/09/2021 22:23,1,21.76,1,1,65,113.79,1,3.224152,2141.388,1770.089,1
,,,,,,,,,,,
09/09/2021 22:23,1,21.183,1,1,65,114.12,1,3.22441,2286.872,1919.812,1
09/09/2021 22:24,1,20.06,1,1,65,114.27,1,3.258054,2334.558,1967.021,1
09/09/2021 22:24,1,21.845,1,1,65,114.03,1,3.217928,2448.625,2080.752,1
09/09/2021 22:25,1,22.15,1,1,65,114.2,1,3.210074,2417.064,2042.984,1
09/09/2021 22:25,1,22.032,1,1,65,114.18,1,3.279552,2253.108,1874.365,1
,,,,,,,,,,,
09/09/2021 22:27,2,21.419,1,1,65,113.85,1,3.771145,501.773,0,2
09/09/2021 22:31,1,21.419,1,1,65,114.21,1,3.265456,2173.946,1791.601,1
10/09/2021 18:52,1,0,1,1,65,114.81,1,3.234858,2203.576,1744.743,1
10/09/2021 19:01,1,13.192,1,1,65,114.81,1,3.193502,2388.482,1930.581,1
10/09/2021 19:03,1,13.82,1,1,65,114.75,1,3.244718,2302.95,1845.38,1
10/09/2021 19:14,1,13.53,1,1,65,114.8,1,3.189349,2331.457,1871.922,1
10/09/2021 19:17,1,6.954,1,1,65,114.75,1,3.220536,2454.653,1998.769,1
10/09/2021 19:18,1,13.94,1,1,65,114.77,1,3.243875,2122.545,1664.58,1
10/09/2021 19:18,1,13.091,1,1,65,114.75,1,3.214128,2293.382,1836.569,1
10/09/2021 19:47,1,13.533,1,1,65,114.75,1,3.235969,2238.482,1781.893,1
10/09/2021 19:49,1,13.413,1,1,65,114.75,1,3.228299,2221.903,1764.441,1
10/09/2021 19:50,1,13.362,1,1,65,114.78,1,3.209647,2468.545,2011.734,1
10/09/2021 19:50,1,14.858,1,1,65,114.78,1,3.208287,2450.217,1991.868,1
10/09/2021 19:57,1,14.824,1,1,65,114.81,1,3.216578,2223.156,1766.164,1
10/09/2021 19:57,1,15.247,1,1,65,114.75,1,3.237821,2288.44,1831.436,1
10/09/2021 19:58,1,13.496,1,1,65,114.75,1,3.217448,2159.605,1700.939,1
,,,,,,,,,,,
10/09/2021 20:01,1,13.192,1,1,65,114.75,1,3.185339,2204.309,1747.113,1
10/09/2021 20:39,1,13.361,1,1,65,114.77,1,3.225637,2132.55,1673.499,1
10/09/2021 20:39,1,13.139,1,1,65,114.8,1,3.255832,2291.487,1832.83,1
10/09/2021 20:41,1,13.516,1,1,65,114.75,1,3.221931,2342.002,1885.057,1
10/09/2021 20:50,1,13.65,1,1,65,114.77,1,3.246092,2221.317,1764.41,1
,,,,,,,,,,,
10/09/2021 20:53,1,13.362,1,1,65,114.75,1,3.238958,2484.867,2028.707,1
10/09/2021 20:54,1,13.616,1,1,65,114.78,1,3.198801,2528.349,2068.989,1
10/09/2021 20:54,1,17.202,1,1,65,114.8,1,3.223388,2188.401,1727.135,1
10/09/2021 20:55,1,14.092,1,1,65,114.75,1,3.189718,2170.285,1710.709,1
10/09/2021 20:55,1,15.062,1,1,65,114.75,1,3.232547,2316.964,1859.266,1
10/09/2021 20:55,1,15.487,1,1,65,114.75,1,3.233413,2365.82,1908.892,1
10/09/2021 20:56,1,15.589,1,1,65,114.78,1,3.201887,2334.044,1875.314,1
